tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510080600,Broadway East, Baltimore, MD,0.4455,Middle
24510150300,Coppin Heights, Baltimore, MD,0.4431,Middle
24510030100,Perkins Homes, Baltimore, MD,0.439,Middle
24510250301,Westport, Baltimore, MD,0.4355,Middle
24510070300,Milton - Montford, Baltimore, MD,0.4346,Middle
24510090800,East Baltimore Midway, Baltimore, MD,0.4342,Middle
24510160801,Edmondson, Baltimore, MD,0.4339,Middle
24510280200,Gwynn Oak, Baltimore, MD,0.4336,Middle
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.432,Middle
24510150702,Walbrook, Baltimore, MD,0.4275,Middle
24510190200,Pratt Monroe, Baltimore, MD,0.4256,Middle
24510180200,Poppleton, Baltimore, MD,0.4226,Middle
24510280402,Rognel Heights, Baltimore, MD,0.4192,Middle
24510271503,Cross Keys, Baltimore, MD,0.4175,Middle
24510160300,Sandtown-Winchester, Baltimore, MD,0.4158,Middle
24510200300,Bentalou-Smallwood, Baltimore, MD,0.4134,Middle
24510200400,Shipley Hill, Baltimore, MD,0.4126,Middle
24510271002,Winston - Govans, Baltimore, MD,0.4114,Middle
24510200800,Irvington, Baltimore, MD,0.4113,Middle
24510271600,Edgecomb, Baltimore, MD,0.411,Middle
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.4055,Middle
24510070200,Madison - Eastend, Baltimore, MD,0.4052,Middle
24510271801,Arlington, Baltimore, MD,0.4004,Middle
24510060100,Patterson Park, Baltimore, MD,0.397,Middle
24510150100,Sandtown-Winchester, Baltimore, MD,0.3951,Middle
24510151300,Central Park Heights, Baltimore, MD,0.3938,Middle
24510260302,Belair - Edison, Baltimore, MD,0.3909,Middle
24510200200,Lexington, Baltimore, MD,0.3901,Middle
24510120600,Old Goucher, Baltimore, MD,0.3881,Middle
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.3852,Middle
24510090500,Better Waverly, Baltimore, MD,0.3848,Middle
24510160400,Midtown Edmondson, Baltimore, MD,0.3848,Middle
24510270901,New Northwood, Baltimore, MD,0.3823,Middle
24510250203,Cherry Hill, Baltimore, MD,0.3796,Middle
24510260303,Claremont - Freedom, Baltimore, MD,0.3768,Middle
